625dbad715c89;13_28800_707555_8;sc1625dbad4bf2d2;ADD       ;19-04-2022;08:00;08:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13E;499;22_PG155_22;8;;;;;;;2022-04-18 16:23:54.783;;;;;
625dbe9c4be11;13_32400_707556_8;sc1625dbe9a8d82c;ADD       ;19-04-2022;09:00;09:10;;;sc1625dbe7c54e2b;Teste;18;de abril;31556118040;;41977777777;teste@teste.com;24/08/1981;M         ;          ;;;;13E;499;22_PG155_22;8;;;;;;;2022-04-18 16:39:59.933;;;;;
626974974c5ce;33_29700_707557_7;sc16269749633303;ADD       ;29-04-2022;08:15;08:25;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13129;804_ECODO6;22_PG155_22;7;;;;;;;2022-04-27 13:51:11.153;;;;;
626974c874cd0;33_36000_707558_7;sc1626974c714eb4;ADD       ;29-04-2022;10:00;10:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13129;804_ECODO6;22_PG155_22;7;;;;;;;2022-04-27 13:52:00.313;;;;;
626975cf83253;12_28800_707561_8;sc1626975cda0ca6;ADD       ;30-04-2022;08:00;08:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;12E;422_RMTRIDIM;22_PG155_22;8;;;;;;;2022-04-27 13:56:23.353;;;;;
626978d86243f;33_36000_707562_7;sc1626978d739723;ADD       ;29-04-2022;10:00;10:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13129;804_ECODO6;22_PG155_22;7;;;;;;;2022-04-27 14:09:20.163;;;;;
6272ca18cf98f;14_28800_707568_12;sc16272ca13477f1;ADD       ;07-05-2022;08:00;08:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;2757_14E;591_RXABDOME;22_PG155_22;12;;;;;;;2022-05-04 15:46:24.333;;;;;
6256c73b45d21;35_50400_707546_12;sc16256c73988169;ADD       ;19-04-2022;14:00;14:10;;294577;sc16256c4afe8a87;CAROLINE;FREITAS;DA SILVA;09938364616;;32988177066;;14/11/1995;F         ;          ;;;;12738;434;2_00122_2;12;;;;;;;2022-04-13 09:50:44.237;;;;;
6273e68a02900;14_32400_707574_12;sc16273e6888ca07;ADD       ;11-05-2022;09:00;09:10;;404907;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;86516338078;;11959653764;paciente.tt@outlook.com;24/08/1980;M         ;          ;;;;2757_14E;543_RXBRACO;22_PG155_22;12;;;;;;;2022-05-05 11:59:56.240;;;;;
6273e9e3b6ccb;12_25200_707583_8_396;sc16273e9e2308cd;ADD       ;09-05-2022;07:00;07:10;;404907;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;86516338078;;11959653764;paciente.tt@outlook.com;24/08/1980;M         ;          ;;;;12E;396_RMCRANIO;22_PG155_22;8;;;;;;;2022-05-05 12:14:13.917;;;;;
