6256c51b19ea0;20_36000_705997_7_445;msg6256c49fc88de;delete    ;19-04-2022;00:10;     ;;;;;;;;;;;          ;          ;          ;;;;13399;;;;;;;;;;2022-04-13 09:41:40.097;;;;;
6256c53829945;35_39600_707204_12_434;msg6256c4d3431a9;update    ;13-04-2022;11:00;11:21;;;;;;;;;;;          ;          ;          ;;;;12738;;;;Confirmed;;;;;;2022-04-13 09:42:09.160;;;;;
6256c549eb78d;20_36000_705997_7_445;msg6256c49fc88de;delete    ;19-04-2022;00:10;     ;;;;;;;;;;;          ;          ;          ;;;;13399;;;;;;;;;;2022-04-13 09:42:26.950;;;;;
6256c5c73aed7;35_28800_706734_12_1004;msg6256c3f9ab4f7;delete    ;14-04-2022;00:08;     ;;;;;;;;;;;          ;          ;          ;;;;11773;;;;;;;;;;2022-04-13 09:44:32.223;;;;;
6256c73eb7fc5;35_39600_707204_12_434;msg6256c4d3431a9;delete    ;13-04-2022;00:11;     ;;;;;;;;;;;          ;          ;          ;;;;12738;;;;;;;;;;2022-04-13 09:50:47.703;;;;;
6256c98298f6d;20_34200_707304_7_240;msg6256c49f2737c;update    ;19-04-2022;09:30;09:38;;;;;;;;;;;          ;          ;          ;;;;13399;;;;Confirmed;;;;;;2022-04-13 10:00:27.537;;;;;
6256c9f33e1a8;35_48600_706533_12_452;msg6256c4d79ca46;delete    ;13-04-2022;00:13;     ;;;;;;;;;;;          ;          ;          ;;;;12738;;;;;;;;;;2022-04-13 10:02:20.157;;;;;
625dbad715c89;13_28800_707555_8;sc1625dbad4bf2d2;ADD       ;19-04-2022;08:00;08:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13E;499;22_PG155_22;8;;;;;;;2022-04-18 16:23:54.783;;;;;
625dbe9c4be11;13_32400_707556_8;sc1625dbe9a8d82c;ADD       ;19-04-2022;09:00;09:10;;;sc1625dbe7c54e2b;Teste;18;de abril;31556118040;;41977777777;teste@teste.com;24/08/1981;M         ;          ;;;;13E;499;22_PG155_22;8;;;;;;;2022-04-18 16:39:59.933;;;;;
626974974c5ce;33_29700_707557_7;sc16269749633303;ADD       ;29-04-2022;08:15;08:25;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13129;804_ECODO6;22_PG155_22;7;;;;;;;2022-04-27 13:51:11.153;;;;;
626974c874cd0;33_36000_707558_7;sc1626974c714eb4;ADD       ;29-04-2022;10:00;10:10;;400675;sc1620c19087645f;Mais um Paciente;Teste;TuoTempo;28676292094;;11959653764;paciente.tt@outlook.com;07/06/1980;M         ;          ;;;;13129;804_ECODO6;22_PG155_22;7;;;;;;;2022-04-27 13:52:00.313;;;;;
626974c9be4d0;33_29700_707557_7_804;sc162697497c084b;delete    ;29-04-2022;00:08;     ;;;;;;;;;;;          ;          ;          ;;;;13129;;;;;;;;;;2022-04-27 13:52:01.613;;;;;
626974eb221f8;33_36000_707558_7_804;sc1626974c8d6f2e;delete    ;29-04-2022;00:10;     ;;;;;;;;;;;          ;          ;          ;;;;13129;;;;;;;;;;2022-04-27 13:52:34.973;;;;;
